Project ID,Compliance Program ID (ARB or Ecology),Project Developer,Project Name,Project Type,Project Methodology/Protocol,Current Crediting Period Start Date,Current Crediting Period End Date,Voluntary Status,Compliance Program Status (ARB or Ecology),Project Status Date,Project Site Location,Project Site State,Project Site Country,Sustainable Development Goal(s),Current VVB,ACR Project Validation,Total Number of Credits Registered ,Documents,Project Website
ACR676,N/A,A-Gas US Inc.,A-Gas V6,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",1/10/2020,1/9/2035,Completed,Not ARB or Ecology Eligible,7/26/2022,Bowling Green,OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",1908868,View,
ACR678,N/A,A-Gas US Inc.,A-Gas V7,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",1/20/2021,1/19/2031,Completed,Not ARB or Ecology Eligible,7/28/2022,Bowling Green,OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",186441,View,
ACR773,N/A,A-Gas US Inc.,A-Gas V8,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",1/6/2021,1/5/2036,Completed,Not ARB or Ecology Eligible,11/2/2022,Rhome,TEXAS,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",1368452,View,
ACR774,N/A,A-Gas US Inc.,A-Gas V9,Industrial Process Emissions,"Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants",8/5/2020,8/4/2060,Completed,Not ARB or Ecology Eligible,8/28/2023,Bowling Green,OHIO,US,"03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",154340,View,
ACR215,N/A,Sustainable Carbon - Projetos Ambientais Ltda.,Açu Renewable Energy Project,Fuel Switching,AMS-I.E.: Switch from non-renewable biomass for thermal applications by the user,1/1/2013,12/31/2019,Canceled,Not ARB or Ecology Eligible,1/9/2021,"Açu region (municipalities of Açu, Afonso Bezerra, Alto do Rodrigues, Carnaubais, Ipanguaçu, Itajá, Macau, Pendências, Porto do Mangue).",State of Rio Grande do Norte,BR,06: Clean Water and Sanitation;07: Affordable and Clean Energy;13: Climate Action;15: Life on Land,,,,View,
ACR737,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2019001,Industrial Process Emissions,Advanced Refrigeration Systems,10/23/2019,10/22/2029,Completed,Not ARB or Ecology Eligible,7/18/2022,US(49),NEW JERSEY,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",44458,View,
ACR747,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2020001,Industrial Process Emissions,Advanced Refrigeration Systems,10/4/2020,10/3/2030,Completed,Not ARB or Ecology Eligible,9/30/2022,"777 White Plains Road, Eastchester, NY, USA",NEW YORK,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",32742,View,
ACR791,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2020002,Industrial Process Emissions,Advanced Refrigeration Systems,1/16/2020,1/15/2030,Completed,Not ARB or Ecology Eligible,3/27/2023,"Sacramento, CA",CALIFORNIA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",13360,View,
ACR813,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2020003,Industrial Process Emissions,Advanced Refrigeration Systems,6/3/2020,6/2/2030,Completed,Not ARB or Ecology Eligible,7/31/2023,Tampa,FLORIDA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",257840,View,
ACR742,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2021001,Industrial Process Emissions,Advanced Refrigeration Systems,10/3/2021,10/2/2031,Completed,Not ARB or Ecology Eligible,10/28/2022,"18 Winslow Gate Road, Poughkeepsie",NEW YORK,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action","First Environment, Inc.","First Environment, Inc.",39881,View,
ACR830,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2021002,Industrial Process Emissions,Advanced Refrigeration Systems,3/1/2021,2/28/2031,Completed,Not ARB or Ecology Eligible,3/28/2023,"1 Stew Leonard Dr #1, Yonkers, NY 10710",NEW YORK,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,47025,View,
ACR868,N/A,Therm Solutions Inc.,Advanced Refrigeration - ARS2021003,Industrial Process Emissions,Advanced Refrigeration Systems,5/20/2021,5/19/2031,Completed,Not ARB or Ecology Eligible,7/6/2023,"4725 Cedar Ave Minneapolis	MN 55407 USA",MINNESOTA,US,"03: Good Health and Well-Being;06: Clean Water and Sanitation;07: Affordable and Clean Energy;09: Industry, Innovation and Infrastructure;11: Sustainable Cities and Communities;12: Responsible Consumption and Production;13: Climate Action",Ruby Canyon Environment,Ruby Canyon Environment,20230,View,
